"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Source"
"Elmarady A.A.; Rahouma K.H.","Elmarady, Ahmed AbdelWahab (57201995940); Rahouma, Kamel Hussein (6506262926)","57201995940; 6506262926","The Impact of COVID-19 on the Cybersecurity in Civil Aviation: Review and Analysis","2022","International Telecommunications Conference, ITC-Egypt 2022 - Proceedings","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137817967&doi=10.1109%2fITC-Egypt55520.2022.9855692&partnerID=40&md5=e3a7e280108a9d623a70be80c4ede579","The significance of cybersecurity and cyber resilience in the aviation sector cannot be ignored, and this fact has been highlighted time and again due to frequent cyberattacks prior and during the COVID-19 pandemic. This paper presents an analysis of the relevant studies that addressed the impact of the COVID-19 pandemic on cybersecurity generally, and in the aviation sector in particular, including identifying the most common increased cyber-attacks associated with the outbreak of COVID-19. Our analysis shows that commonly increased cyber-attacks associated with the outbreak of COVID-19 in aviation are phishing and ransomware. Furthermore, the likelihood of phishing and ransomware attacks is very likely during the pandemic than before it while the impact on flight operations is low, and the subsequent risk level is tolerable during the pandemic. Additionally, we propose a set of possible mitigation measures for those cyber-attacks.  © 2022 IEEE.","airlines; COVID-19; cyber resilience; cybersecurity; phishing; ransomware","Air transportation; Civil aviation; Crime; Malware; Network security; Aviation sector; Cybe resilience; Cyber security; Cyber-attacks; Flight operation; Mitigation measures; Phishing; Risk levels; Cybersecurity","Conference paper","Final","Scopus"
"Li R.; Hill R.A.; Le Blanc K.","Li, Ruixuan (57201366204); Hill, Rachael A. (57191073309); Le Blanc, Katya (39762089300)","57201366204; 57191073309; 39762089300","A PRODUCT LIFE CYCLE HUMAN-SYSTEM INTERRELATIONSHIP APPROACH FOR CYBERSECURITY","2023","Proceedings of 13th Nuclear Plant Instrumentation, Control and Human-Machine Interface Technologies, NPIC and HMIT 2023","","","","1484","1493","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183327810&doi=10.13182%2fNPICHMIT23-41023&partnerID=40&md5=5f37184d0c8c24477397e4fff24c52d1","Cybersecurity is often approached from a technology and system-centric perspective. The strengths and limitations of humans, who are integral parts of the system, are not always considered. Humans are cited as weakest part of security and risk management, and human errors are the primary contributor to data breaches, cyber-attacks, and ransomware attacks. In this study, we propose a product life cycle human-system interrelationship approach to discover risks that involve humans for providing insights into human-machine interaction design, training, and behavior-based risk mitigations to eliminate cybersecurity risk. We focus on tracing humans and subsystems that directly and indirectly impact how the product operates. After that, we can analyze the human-system interaction assumptions to discover opportunities for improving cybersecurity from human factors engineering viewpoint. These may include preventing unintended or undesirable actions, understanding workarounds, identifying opportunities to perceive and comprehend cyber-attack, improving the training and process development, and enhancing the risk management and improvement process. We use nuclear power plant computer-based procedures as an example to discuss how to trace through a product’s life cycle, find indirectly interrelated systems, and discover risks. The findings facilitate researchers' and practitioners' understanding of how humans may serve as the bridge between air gapped systems and finding ways to mitigate the impacts. This approach can let developers find opportunities to provide decision support tools, simplify processes, and efficiently use workforces. © 2023 American Nuclear Society, Incorporated.","computer-based procedure; cybersecurity; human-system interrelations; Product life cycle","Crime; Decision support systems; Human engineering; Life cycle; Malware; Network security; Nuclear fuels; Nuclear power plants; Product design; Risk management; Computer-based procedure; Cyber security; Cyber-attacks; Human-system interrelation; Human-systems; Integral part; Product life cycles; Risks management; System centric; Technologies and systems; Cybersecurity","Conference paper","Final","Scopus"
"Mudd C.L., Jr.; Hanson S.","Mudd, Charles Lee (58530878300); Hanson, Svetlana (57226386199)","58530878300; 57226386199","Cybersecurity in Space: Ensuring A Secure Space at the Operational System Level","2022","Proceedings of the International Astronautical Congress, IAC","2022-September","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167565346&partnerID=40&md5=193c942478efc72cca027009a00f06f3","The future of secure space activity must begin at the operational level by ensuring systematic protection against cyber-attacks. To effectuate this, the space sector must increase awareness, adopt “security-by-design,” increase regulatory support, implement data security principles, and cooperate domestically and internationally. Given the growth in commercial space and satellite activity, the space sector has become even more vulnerable to cyber-attack. At the origin of computer networking, the corollary risk of network intrusion began. Given the prevalence of Internet use among the developed world, concerns about computer intrusions and hackers may be apparent to many in the general population. Within the technology sector, a more acute risk awareness and understanding exists. And, although intuitively it would be reasonable to expect those in the space sector to share this heightened perspective, reason does not always prevail. The absence of effective cybersecurity standards within the space and satellite sector reflects this disconnect. And yet, the risk of computer intrusions within the space sector and the potential harm to space operations could not be more pronounced. From both state and non-state actors, space operations serve an attractive target for cyber attacks. At an exploratory level, the intruder intent could be limited to traversing computer systems without any clear objective. At an informational level, the intruders (whether human or bot) might be focused on the acquisition of specific documents, knowledge, or state or trade secrets. However, certain documents could clearly lead to more menacing objectives. Beyond the foregoing, more nefarious players could seek to threaten operations on the International Space Station, disrupt human spaceflight, redirect satellites, or worse. In fact, akin to ransomware, these criminal operators could hold returned normality ransom in exchange for demands. To avoid or (at a minimum) minimize opportunities for intrusions, there is a need for awareness among and within the space industry, policy makers, and regulators. This paper and presentation will define space cybersecurity concerns and provide proposals for increased awareness. The paper will also provide an overview of cybersecurity efforts in the United States and internationally. We will propose specific principles directly related to the space sector as well as emphasize on the need for communication and cooperation across governments, commercial operators, and other NGOs. Copyright © [IAC 2022] by Mudd Law. Published by the IAF with permission and released to the IAF to publish in all forms.","cybersecurity; data security; satellite; space; spacecraft","Crime; Cyber attacks; Malware; Manned space flight; Network security; Personal computing; Risk perception; Space stations; Cyber security; Cyber-attacks; Operational level; Operational systems; Secure space; Space; Space activities; Space operations; Space sectors; System levels; Satellites","Conference paper","Final","Scopus"
"Razaulla S.; Fachkha C.; Markarian C.; Gawanmeh A.; Mansoor W.; Fung B.C.M.; Assi C.","Razaulla, Salwa (58195511000); Fachkha, Claude (55550133900); Markarian, Christine (55305817500); Gawanmeh, Amjad (8615692300); Mansoor, Wathiq (6506544762); Fung, Benjamin C. M. (9737587400); Assi, Chadi (6603706480)","58195511000; 55550133900; 55305817500; 8615692300; 6506544762; 9737587400; 6603706480","The Age of Ransomware: A Survey on the Evolution, Taxonomy, and Research Directions","2023","IEEE Access","","","","1","1","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153496158&doi=10.1109%2fACCESS.2023.3268535&partnerID=40&md5=eeb01f433295d1dee38e0b8a0c1d97c3","The proliferation of ransomware has become a significant threat to cybersecurity in recent years, causing significant financial, reputational, and operational damage to individuals and organizations. This paper aims to provide a comprehensive overview of the evolution of ransomware, its taxonomy, and its state-of-the-art research contributions. We begin by tracing the origins of ransomware and its evolution over time, highlighting the key milestones and major trends. Next, we propose a taxonomy of ransomware that categorizes different types of ransomware based on their characteristics and behavior. Subsequently, we review the existing research over several years in regard to detection, prevention, mitigation, and prediction techniques. Our extensive analysis, based on more than 150 references, has revealed that significant research, specifically 72.8%, has focused on detecting ransomware. However, a lack of emphasis has been placed on predicting ransomware. Additionally, of the studies focused on ransomware detection, a significant portion, 70%, have utilized Machine Learning methods. We further discuss the challenges found such as the ones related to obtaining ransomware datasets. In addition, our study uncovers a range of shortcomings in research pertaining to real-time protection and identifying zero-day ransomware. Adversarial machine learning exploitation has been identified as an under-researched area in the field. This survey is a constructive roadmap for researchers interested in ransomware research matters. Author","Adversarial Machine Learning; Cryptography; Cyber attacks; Deep Learning; Electronic mail; Encryption; Machine Learning; Malware; Malware analysis; Phishing; Ransomware; Ransomware; Taxonomy","Cryptography; Cybersecurity; Deep learning; E-learning; Taxonomies; Zero-day attack; Adversarial machine learning; Cyber security; Cyber-attacks; Deep learning; Machine-learning; Malware analysis; Malwares; Phishing; State of the art; Malware","Article","Article in press","Scopus"
"Payre W.; Perelló-March J.; Kanakapura Sriranga A.; Birrell S.","Payre, William (56139470500); Perelló-March, Jaume (57203539146); Kanakapura Sriranga, Ashwini (57828723400); Birrell, Stewart (56723781000)","56139470500; 57203539146; 57828723400; 56723781000","The notorious B.I.T: The effects of a ransomware and a screen failure on distraction in automated driving","2023","Transportation Research Part F: Traffic Psychology and Behaviour","94","","","42","52","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147849799&doi=10.1016%2fj.trf.2023.02.002&partnerID=40&md5=ec2718055f56a4eab6b080b674ff7ec1","Connected and automated vehicles are vulnerable to cyber-attacks, which may jeopardise their safe and efficient operation and, as a result, negatively affect drivers’ behaviour. A major concern for such cyber-attacks is visual distraction inside the vehicle, which is one of the main causes of road accidents. In this empirical research using a driving simulator, 38 participants drove in a conditionally automated vehicle and experienced two types of failure: explicit (i.e., ransomware attack appearing on the in-vehicle screen) and silent (i.e., turn signals failed to activate on the in-vehicle screen and instrument cluster), while engaged in a non-driving related task. Drivers’ gaze behaviour, in terms of number and duration of fixation, were collected and analysed. Results showed that the HMI where the ransomware was displayed was the area of interest drivers looked at the most. The majority of drivers failed to notice that the turn signal was faulty. Nearly half of drivers looked at the ransomware for more than 12 s while driving. No effect on the timing of failure on gaze behaviour was observed. This research evidenced that ransomware attacks are distractive and pose significant risks to road safety – with one participant crashing the vehicle after resuming manual control. Data also evidenced that such connected vehicles are unlikely to meet NHTSA's distraction guidelines for safe use of in-vehicle devices. © 2023 The Author(s)","Automated driving; Cybersecurity; Distraction; Eye-tracking; Failure; Ransomware","Accidents; Automation; Crime; Cybersecurity; Eye tracking; Malware; Motor transportation; Network security; Vehicles; Automated driving; Automated vehicles; Cyber security; Cyber-attacks; Distraction; Driver's behavior; Empirical research; Eye-tracking; Gaze behaviours; Visual distractions; Roads and streets","Article","Final","Scopus"
"Watney M.","Watney, Murdoch (39362544600)","39362544600","Cybersecurity Threats to and Cyberattacks on Critical Infrastructure: A Legal Perspective","2022","European Conference on Information Warfare and Security, ECCWS","2022-June","","","319","327","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160781099&partnerID=40&md5=642a5ab711b1f1dee7a110daf922aa50","Over the years cybersecurity threats to and cyberattacks on the critical infrastructure by state and non-state actors have escalated in intensity and sophistication. Cyberattacks, such as the 2017 NotPetya ransomware attack, the 2020 SolarWinds software supply chain attack and the 2021 Colonial Pipeline ransomware attack, illustrate the vulnerability of critical infrastructure to cyberattacks. Most cyberattacks are committed across borders involving criminal hackers or state supported hackers. Furthermore, critical infrastructure is increasingly interconnected and interdependent. Connectivity brings about the risk of a cyberattack, demonstrated by the 2021 Colonial Pipeline ransomware attack. Interconnectedness also means that the compromise of one critical infrastructure asset can have a domino effect that degrades or disrupts others and results in cascading consequences across the economy and national security. Operational continuity is essential and this may have been one of the reasons why Colonial Pipeline paid a ransom to cyber-attackers. A cyberattack on the critical infrastructure of a state cannot be seen in isolation as the consequences of the attack may impact other states, this was illustrated by the 2017 WannaCry and NotPetya ransomware attacks. The level of sophistication of cyberattacks has increased over the years as shown by the 2020 SolarWinds software supply chain attack. The escalation of attacks has served as a catalyst for governments to address the risk to critical infrastructure. Countries need to have strong government bodies which supervise cybersecurity in their country and work together with their counterparts in other countries by sharing information regarding threats and attacks against critical infrastructure. The discussion focuses on the challenges that threats to and attacks on critical infrastructure present, the possible solutions a government may implement in addressing cyberattacks on critical infrastructure and the accountability of state and non-state actors of cyberattacks on critical infrastructure. The issues are discussed from a legal perspective. © 2022 Curran Associates Inc.. All rights reserved.","critical infrastructure; cyberattacks; cybersecurity threats; non-state cyber-attackers; ransomware attacks; software supply chain attack; state","Critical infrastructures; Malware; National security; Personal computing; Pipelines; Public works; Supply chains; Colonial pipelines; Cyber attackers; Cyber security; Cyber-attacks; Cybersecurity threat; Non-state cybe-attacker; Ransomware attack; Software supply chain attack; Software supply chains; State; Cybersecurity","Conference paper","Final","Scopus"
"Fadzil L.M.; Manickam S.; Al-Shareeda M.A.","Fadzil, Lokman Mohd (57222348450); Manickam, Selvakumar (6701579429); Al-Shareeda, Mahmood A. (57208214655)","57222348450; 6701579429; 57208214655","A Review of An Emerging Cyber Kill Chain Threat Model","2023","2nd International Conference on Advanced Computer Applications, ACA 2023","","","","157","161","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182266491&doi=10.1109%2fACA57612.2023.10346959&partnerID=40&md5=db8c0672146b8ad1c04e5fdbe2426955","This paper proposed a review of how Industrial Control Systems (ICS) have facilitated the evolution of today's legacy machines from purely mechanical fabrications to electrical, mechanical, hydraulic, and pneumatic, respectively. The increasing machine connectivity and digitalization are leading to an increase in cybersecurity issues affecting ICS as these systems are updated to conform to the new Industry 4.0, IoT, and cloud computing infrastructure to achieve specific industrial goals. For this case study, we explore the threat posed by Ransomware-as-a-Service (RAAS) and the business model propagated by the criminal organization DarkSide for using RAAS to launch a cyberattack against the ICS of the Colonial Oil and Gas Company. The current approach of implementing a response after a cyber-attack prompted shifting to in-progress response mechanisms as cyber-attacks become more complex and time-consuming. Based on prior work by Lockheed Martin and Varonis, a new and improved Cyber Kill Chain Framework is proposed. This framework details the eight steps of a cyberattack: surveillance, intrusion, exploitation, privilege escalation, lateral movement, obfuscation/anti-forensics, denial of service, and exfiltration. The Detect-Deny-Disrupt mitigation actions may need to be continuously updated to better the framework and ICS cyber-attack mitigation efforts. © 2023 IEEE.","cyber kill chain framework; cyber-attack; cybersecurity; DarkSide; industrial control systems; ransomware","Control systems; Crime; Cyber attacks; Gas industry; Legacy systems; Malware; Network security; Public utilities; Cybe kill chain framework; Cyber security; Cyber-attacks; Darkside; Industrial control systems; Kill chain; Mechanical; Mechanical fabrication; New industry; Threat modeling; Denial-of-service attack","Conference paper","Final","Scopus"
"Anjum N.; Sakib N.; Rodriguez-Cardenas J.; Brookins C.; Norouzinia A.; Shavers A.; Dominguez M.; Nassif M.; Shahriar H.","Anjum, Nafisa (58101631100); Sakib, Nazmus (58650270000); Rodriguez-Cardenas, Juanjose (58551565500); Brookins, Corey (58551789900); Norouzinia, Ava (58551904200); Shavers, Asia (58551790000); Dominguez, Miranda (58551565600); Nassif, Marie (58551565700); Shahriar, Hossain (23096391900)","58101631100; 58650270000; 58551565500; 58551789900; 58551904200; 58551790000; 58551565600; 58551565700; 23096391900","Uncovering Software Supply Chains Vulnerability: A Review of Attack Vectors, Stakeholders, and Regulatory Frameworks","2023","Proceedings - International Computer Software and Applications Conference","2023-June","","","1816","1821","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168875435&doi=10.1109%2fCOMPSAC57700.2023.00281&partnerID=40&md5=8e139be3f0662b22555b36de84423fa7","The proliferation of cyberattacks in the software supply chain (SSC) domain is a critical concern making them a formidable threat to software security and compromising its integrity and credibility which needs to be seriously acknowledged and investigated. This paper aims to conduct a comprehensive study of the various tactics and techniques employed by cybercriminals in this domain along with a focus on exploring the effect of software supply chain stakeholders' traits, limitations, and actions on the probability of a successful attack. Furthermore, this research also identifies the regulatory tools and protocols administrating software supply chains that support decreasing an organization's proneness to these challenges. Our study adopts a rigorous methodology to investigate the frequency of attacks, current defense techniques, and gaps combined with an overview highlighting where ransomware attacks occur amidst this discussion. The findings will provide valuable insights concerning the recent trends in disrupting the security and efficiency of the software supply chain and offer recommendations to researchers, organizations, and practitioners to remain cautious and proactive in their cybersecurity posture. © 2023 IEEE.","Ransomware Attacks; Regulatory frameworks; Security; Software Supply Chain Attacks; Stakeholders","Cybersecurity; Supply chains; Attack vector; Cyber-attacks; Cybercriminals; Ransomware attack; Regulatory frameworks; Security; Software security; Software supply chain attack; Software supply chains; Stakeholder; Malware","Conference paper","Final","Scopus"
"Abusaqer M.; Benaoumeur Senouci M.; Magel K.","Abusaqer, Muhammad (58175657700); Benaoumeur Senouci, M. (58175657800); Magel, Kenneth (7801503070)","58175657700; 58175657800; 7801503070","Twitter User Sentiments Analysis: Health System Cyberattacks Case Study","2023","5th International Conference on Artificial Intelligence in Information and Communication, ICAIIC 2023","","","","18","24","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151946634&doi=10.1109%2fICAIIC57133.2023.10067026&partnerID=40&md5=15a43ee5cd7cbc634286feb115ce6831","Social media, such as Twitter, allow people to interact with ongoing events and share their sentiments. Therefore, people use social media to report and express their emotions about events they are experiencing. Furthermore, some officials take advantage of the popularity of social media to keep the public informed, especially during emergent events. Researchers have covered sentiment analysis on Twitter in many fields, such as movie reviews, stocks, politics, health, and sports. However, there is a research gap in studying the public's concerns on social media when a cybersecurity breach occurs and how people's sentiment changes over time. To fill the gap, The researchers selected the cyberattacks against Universal Health Services (UHS) during the late days of September 2020 and collected a large dataset of related tweets over five weeks. Live-streaming tweets and historical ones both were compiled. The focus while gathering tweets was in the context of cyberattacks on UHS using keywords and hashtags such as Universal Health System, UHS cyberattack, UHS Ransome, UHS security breach, and UHS locked. Then, the researchers determined tweets' sentiment classification on this developing event using deep learning of Long Short-Term Memory (LSTM) and Artificial Neural Networks (ANN) and their accuracies. Furthermore, the researchers performed exploratory data analysis for the dataset supplying information about how sentiment has changed over time to compare the sentiment per week since the start of these cyberattacks on UHS. This study is the first to provide an analysis of the public's sentiment toward a significant cybersecurity breach on a healthcare provider dealing with COVID-19 based on a large-scale dataset extracted from social media feeds.  © 2023 IEEE.","cyberattacks; healthcare; ransomware; security breach; Sentiment analysis","Cybersecurity; Health care; Large dataset; Long short-term memory; Malware; Social networking (online); Case-studies; Cyber security; Cyber-attacks; Health services; Health systems; Healthcare; Movie reviews; Security breaches; Sentiment analysis; Social media; Sentiment analysis","Conference paper","Final","Scopus"
"Hytönen E.; Trent A.; Ruoslahti H.","Hytönen, Eveliina (58628159700); Trent, Amir (57579456400); Ruoslahti, Harri (57188808435)","58628159700; 57579456400; 57188808435","Societal Impacts of Cyber Security in Academic Literature: Systematic Literature Review","2022","European Conference on Information Warfare and Security, ECCWS","2022-June","","","86","93","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172874292&partnerID=40&md5=528c5993a11499203dec13799439af36","The 2020 Allianz Risk Barometer, with 39% of responses, ranked cyber incidents as the number one risk threatening business continuity. Any organisation may face a number of challenges e.g. costly data breaches, ransomware incidents, and even litigation after an event. The Internet has, in many ways, changed society, transformed businesses, organisational communication and learning. People can now interact through social networking platforms. Modern society has become very technology driven, as ICT is now an integral component in peoples’ lives. However, besides the many benefits that the Internet and other ICT technology bring, there are also threats, such as cyber-attacks looking to exploit vulnerabilities in ICT applications and systems. This study is a systematic literature review that explores how societal impacts of cyber security in modern society are discussed in academic literature. The Introduction discusses the overall importance of cyber security in today’s society. The body of this paper presents the method in which the literature review was conducted, and a concise summary of the findings that answer the research question: How are societal impacts of cyber security discussed in academic literature? Six categories of investigation of societal impacts of cyber security are identified: 1) Impacts on Social and Societal Levels, 2) Detection of cyber-crime and incidents, 3) Critical infrastructures and services, 4) Impacts of incidents and individual technology, 5) Cybersecurity awareness, and 6) Cybersecurity and collaboration. Lastly, the conclusions, based on the research findings, address the feasibility, impact, strengths, weaknesses and possible ethical concerns of cybersecurity. This paper contributes to the overall understanding of current societal impacts of cyber security, and this understanding benefits the development of methods that assess societal impacts, as well as provides focus for future training and development of cyber and e-skills needed for better awareness of cyber threats, and to better address possible cyber incidents. © 2022 Curran Associates Inc.. All rights reserved.","cyber security; societal impacts; society","Crime; Economic and social effects; Malware; Network security; Academic literature; Allianz; Business continuity; Cyber security; Organizational communication; Organizational learning; Social-networking; Societal impacts; Society; Systematic literature review; Cybersecurity","Conference paper","Final","Scopus"
